field title,field author,field isbn,field isbn13,field asin,field num_pages,field avg_rating,field num_ratings,field date_pub,field date_pub_edition,field rating,field shelves,field review,field notes,field comments,field votes,field read_count,field date_started,field date_read,field date_added,field owned,field format,field actions
"title    
      Lies My Liberal Teacher Told Me: Debunking the False Narratives Defining America's School Curricula","author      Reilly, Wilfred",isbn    0063265982,isbn13    9780063265981,asin    B0BDZMZJ4C,"num pages      
        264
        pp",avg rating    3.96,num ratings    314,"date pub      Aug 15, 2023","date pub edition      Jun 11, 2024","Jessica's rating
        it was amazing","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jan 02, 2025","date read
    
            
                  
      Jan 03, 2025","date added
    
    Jan 02, 2025",owned,"format
        Kindle Edition","actions
        
          view"
"title    
      Midwinter Murder: Fireside Tales from the Queen of Mystery","author      Christie, Agatha",isbn    0063030365,isbn13    9780063030367,asin    0063030365,"num pages      
        320
        pp",avg rating    3.82,"num ratings    13,413","date pub      Oct 20, 2020","date pub edition      Oct 20, 2020",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Dec 27, 2024","date read
    
            
                  
      not set","date added
    
    Dec 27, 2024",owned,"format
        Paperback","actions
        
          view"
"title    
      The Secret of Chimneys
        (Superintendent Battle, #1)","author      Christie, Agatha",isbn    0007122586,isbn13    9780007122585,asin    0007122586,"num pages      
        400
        pp",avg rating    3.85,"num ratings    30,295",date pub      Jun 1925,date pub edition      2001,"Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Dec 20, 2024","date read
    
            
                  
      Dec 22, 2024","date added
    
    Dec 20, 2024",owned,"format
        Paperback","actions
        
          view"
"title    
      Why Didn't They Ask Evans?","author      Christie, Agatha",isbn    0312981597,isbn13    9780312981594,asin    0312981597,"num pages      
        288
        pp",avg rating    3.91,"num ratings    36,923",date pub      Sep 1934,"date pub edition      Feb 18, 2002","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Dec 20, 2024","date read
    
            
                  
      Dec 20, 2024","date added
    
    Dec 20, 2024",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      Sparkling Cyanide
        (Colonel Race, #4)","author      Christie, Agatha",isbn    0007136854,isbn13    9780007136858,asin    0007136854,"num pages      
        336
        pp",avg rating    3.92,"num ratings    38,064",date pub      Feb 1945,date pub edition      2002,"Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Dec 18, 2024","date read
    
            
                  
      Dec 20, 2024","date added
    
    Dec 18, 2024",owned,"format
        Paperback","actions
        
          view"
"title    
      The Master and His Emissary: The Divided Brain and the Making of the Western World","author      McGilchrist, Iain
        *",isbn    030014878X,isbn13    9780300148787,asin    030014878X,"num pages      
        608
        pp",avg rating    4.35,"num ratings    3,489","date pub      Oct 30, 2009","date pub edition      Dec 15, 2009",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Dec 18, 2024","date read
    
            
                  
      not set","date added
    
    Dec 18, 2024",owned,"format
        Hardcover","actions
        
          view"
"title    
      We Who Wrestle with God: Perceptions of the Divine","author      Peterson, Jordan B.",isbn    0593542533,isbn13    9780593542538,asin    0593542533,"num pages      
        576
        pp",avg rating    3.95,num ratings    814,"date pub      Nov 19, 2024","date pub edition      Nov 19, 2024","Jessica's rating
        it was amazing","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
        
Deep and fascinating book, a great way to study the Bible from any perspective, and to dive more into the great adventure of life.","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Dec 07, 2024","date read
    
            
                  
      Dec 18, 2024","date added
    
    Dec 07, 2024",owned,"format
        Hardcover","actions
        
          view (with text)"
"title    
      Washington: A Life","author      Chernow, Ron",isbn    1594202664,isbn13    9781594202667,asin    1594202664,"num pages      
        904
        pp",avg rating    4.16,"num ratings    76,860","date pub      Jan 05, 2010","date pub edition      Oct 05, 2010","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Nov 14, 2024","date read
    
            
                  
      Dec 07, 2024","date added
    
    Nov 14, 2024",owned,"format
        Hardcover","actions
        
          view"
"title    
      The Italian","author      Radcliffe, Ann",isbn    0140437541,isbn13    9780140437546,asin    0140437541,"num pages      
        544
        pp",avg rating    3.52,"num ratings    5,857",date pub      1796,"date pub edition      Feb 24, 2005","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Nov 08, 2024","date read
    
            
                  
      Nov 14, 2024","date added
    
    Nov 08, 2024",owned,"format
        Paperback","actions
        
          view"
"title    
      On the Night of the Seventh Moon","author      Holt, Victoria",isbn    0345470389,isbn13    9780345470386,asin    0345470389,"num pages      
        384
        pp",avg rating    3.99,"num ratings    5,824",date pub      Sep 1972,"date pub edition      Mar 01, 1995","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Oct 11, 2024","date read
    
            
                  
      Oct 11, 2024","date added
    
    Oct 11, 2024",owned,"format
        Paperback","actions
        
          view"
